Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance_in_KM
36.0,4.2,Fog,Jam,2.0,Snack,motorcycle,3.0,No,Metropolitian,46.0,10.280582064621877
21.0,4.7,Stormy,High,1.0,Meal,motorcycle,1.0,No,Metropolitian,23.0,6.242318682701243
23.0,4.7,Sandstorms,Medium,1.0,Drinks,scooter,1.0,No,Metropolitian,21.0,13.787860239172549
34.0,4.3,Sandstorms,Low,0.0,Buffet,motorcycle,0.0,No,Metropolitian,20.0,2.9302578007621216
24.0,4.7,Fog,Jam,1.0,Snack,scooter,1.0,No,Metropolitian,41.0,19.39661829066159
29.0,4.5,Sandstorms,Jam,2.0,Buffet,electric_scooter,1.0,No,Metropolitian,20.0,13.76397722442764
35.0,4.0,Windy,High,1.0,Meal,scooter,1.0,No,Metropolitian,33.0,6.21800119018663
33.0,4.2,Sandstorms,Jam,2.0,Snack,motorcycle,1.0,No,Metropolitian,40.0,16.849939918016496
34.0,4.9,Cloudy,Jam,0.0,Snack,motorcycle,0.0,No,Metropolitian,41.0,10.75710880025813
21.0,4.7,Windy,Jam,0.0,Meal,motorcycle,1.0,No,Urban,15.0,4.540574388731296
25.0,4.1,Sandstorms,Jam,0.0,Snack,motorcycle,2.0,No,Metropolitian,36.0,12.256076445468295
31.0,4.7,Sandstorms,Low,2.0,Meal,electric_scooter,0.0,No,Metropolitian,26.0,19.618739348801014
37.0,5.0,Sandstorms,Low,1.0,Snack,motorcycle,1.0,No,Metropolitian,20.0,1.5581322655568652
33.0,4.3,Windy,Jam,2.0,Meal,scooter,1.0,No,Metropolitian,39.0,20.18063511411472
25.0,4.0,Cloudy,High,1.0,Buffet,motorcycle,1.0,No,Metropolitian,34.0,6.116971669682334
29.0,4.5,Sunny,Medium,2.0,Meal,electric_scooter,1.0,No,Metropolitian,15.0,17.07559440107296
27.0,5.0,Stormy,Jam,0.0,Snack,motorcycle,0.0,No,Urban,18.0,4.470286489434607
35.0,4.3,Cloudy,Low,1.0,Drinks,scooter,0.0,No,Metropolitian,38.0,13.68204452608078
32.0,4.0,Windy,Jam,0.0,Buffet,motorcycle,1.0,No,Metropolitian,47.0,13.973182653917394
23.0,4.8,Windy,Low,2.0,Buffet,electric_scooter,0.0,No,Urban,12.0,16.85361872985359
31.0,4.8,Sandstorms,Low,2.0,Drinks,motorcycle,1.0,No,Metropolitian,26.0,4.674172124263269
36.0,4.1,Stormy,Low,0.0,Drinks,motorcycle,1.0,No,Urban,22.0,7.601616771071091
26.0,4.3,Sandstorms,Low,0.0,Buffet,motorcycle,0.0,No,Urban,21.0,7.720324413179964
38.0,4.9,Cloudy,High,1.0,Drinks,scooter,1.0,No,Urban,25.0,6.175636261016932
32.0,3.5,Stormy,Jam,1.0,Snack,scooter,0.0,No,Urban,35.0,17.29786575291325
32.0,4.6,Cloudy,Low,2.0,Drinks,scooter,1.0,No,Metropolitian,30.0,19.914686965545187
33.0,4.9,Sunny,Medium,1.0,Snack,motorcycle,1.0,No,Metropolitian,22.0,10.724517748046024
20.0,4.7,Windy,High,1.0,Snack,scooter,0.0,No,Urban,10.0,6.127835452844327
20.0,4.8,Sandstorms,Low,2.0,Meal,scooter,1.0,No,Metropolitian,19.0,1.5203573134022046
35.0,5.0,Sunny,Low,2.0,Snack,scooter,1.0,No,Urban,11.0,3.0734537599377685
26.0,4.9,Stormy,Low,2.0,Buffet,scooter,0.0,No,Metropolitian,11.0,3.105131477545897
22.0,4.8,Fog,Low,1.0,Snack,motorcycle,1.0,No,Metropolitian,28.0,10.86742683448048
35.0,4.3,Cloudy,Medium,1.0,Snack,motorcycle,1.0,No,Metropolitian,33.0,10.865464603780389
30.0,4.2,Cloudy,Medium,1.0,Drinks,scooter,1.0,No,Metropolitian,33.0,12.236723616598548
37.0,4.7,Sandstorms,Jam,0.0,Snack,motorcycle,3.0,No,Metropolitian,52.0,13.682516298592295
28.0,4.6,Stormy,Jam,1.0,Snack,scooter,1.0,No,Metropolitian,22.0,16.826241648658115
37.0,4.9,Fog,Low,1.0,Snack,scooter,1.0,No,Urban,16.0,3.0272369309754272
23.0,4.9,Sunny,Jam,2.0,Drinks,electric_scooter,0.0,No,Metropolitian,11.0,9.175193844437826
27.0,4.9,Windy,Medium,1.0,Drinks,scooter,1.0,No,Metropolitian,25.0,9.315069177421892
37.0,4.8,Cloudy,Medium,0.0,Drinks,motorcycle,1.0,No,Urban,26.0,6.209021101535612
33.0,5.0,Sunny,High,2.0,Snack,scooter,1.0,No,Metropolitian,18.0,1.5203447277401048
31.0,4.9,Fog,Medium,1.0,Snack,motorcycle,1.0,No,Metropolitian,16.0,6.037225392443855
31.0,4.8,Stormy,Low,2.0,Drinks,scooter,1.0,No,Metropolitian,23.0,17.078665498349437
25.0,5.0,Cloudy,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,15.0,4.717601092054723
28.0,4.8,Sandstorms,Jam,0.0,Drinks,motorcycle,1.0,No,Metropolitian,36.0,12.46432929763658
31.0,4.7,Cloudy,Low,2.0,Snack,motorcycle,0.0,No,Metropolitian,16.0,9.121425981981249
24.0,4.7,Sunny,Medium,0.0,Buffet,motorcycle,0.0,No,Urban,19.0,14.023232083084483
39.0,4.6,Sunny,Low,1.0,Snack,motorcycle,1.0,No,Metropolitian,27.0,13.392612276663236
39.0,4.2,Fog,Jam,2.0,Snack,scooter,1.0,No,Semi-Urban,49.0,12.58026782240096
32.0,4.5,Windy,Low,2.0,Buffet,scooter,0.0,No,Metropolitian,20.0,1.4899271643865588
36.0,4.7,Cloudy,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,30.0,9.435201537430713
25.0,4.8,Sandstorms,Low,1.0,Drinks,scooter,0.0,No,Urban,18.0,11.916582838288104
33.0,4.9,Sunny,Jam,2.0,Drinks,scooter,0.0,No,Metropolitian,22.0,4.663566689152146
30.0,4.4,Cloudy,Low,2.0,Drinks,scooter,1.0,No,Metropolitian,34.0,10.64115772933754
33.0,5.0,Sandstorms,Low,0.0,Buffet,motorcycle,0.0,No,Urban,24.0,16.818368923732613
36.0,4.9,Fog,Medium,2.0,Drinks,scooter,1.0,No,Metropolitian,17.0,6.128551257919138
21.0,4.8,Sandstorms,Low,2.0,Meal,electric_scooter,0.0,No,Metropolitian,14.0,2.996250036665907
39.0,4.9,Stormy,Jam,2.0,Meal,motorcycle,1.0,No,Metropolitian,30.0,7.342175722857793
23.0,4.8,Stormy,Low,1.0,Meal,scooter,1.0,No,Metropolitian,15.0,3.145067434621583
35.0,4.8,Fog,Medium,2.0,Buffet,scooter,1.0,No,Urban,16.0,6.290134677634678
39.0,4.6,Cloudy,Jam,1.0,Snack,scooter,1.0,No,Metropolitian,36.0,13.972123977178622
22.0,4.7,Sunny,High,1.0,Buffet,scooter,1.0,No,Urban,18.0,6.081440797008078
32.0,4.6,Fog,Medium,1.0,Meal,scooter,0.0,No,Metropolitian,17.0,6.080891507842322
24.0,4.8,Sandstorms,Low,1.0,Buffet,motorcycle,1.0,No,Urban,15.0,12.58026782240096
29.0,4.7,Fog,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,17.0,3.145067434621583
26.0,4.7,Fog,Low,1.0,Buffet,motorcycle,0.0,No,Metropolitian,10.0,9.220373067021216
20.0,4.5,Fog,Jam,1.0,Drinks,motorcycle,1.0,No,Metropolitian,27.0,7.862668167410368
35.0,4.1,Sandstorms,Jam,1.0,Buffet,motorcycle,2.0,No,Metropolitian,37.0,13.96960642768458
39.0,4.6,Fog,Jam,1.0,Drinks,scooter,2.0,No,Metropolitian,44.0,13.973206773137711
34.0,4.7,Windy,High,2.0,Drinks,electric_scooter,1.0,No,Metropolitian,28.0,6.058853851669116
27.0,4.7,Cloudy,Jam,2.0,Snack,scooter,1.0,No,Metropolitian,42.0,17.07799287216204
30.0,4.8,Windy,Low,1.0,Snack,motorcycle,1.0,No,Metropolitian,25.0,17.29786575291325
25.0,4.4,Cloudy,Medium,2.0,Snack,scooter,1.0,No,Metropolitian,39.0,17.072871906399556
25.0,4.7,Stormy,Medium,0.0,Meal,motorcycle,0.0,No,Urban,20.0,16.818368923732613
30.0,5.0,Stormy,High,1.0,Buffet,motorcycle,1.0,No,Metropolitian,31.0,2.979502850576494
24.0,4.6,Stormy,Jam,1.0,Buffet,motorcycle,0.0,No,Metropolitian,13.0,9.220865975037842
39.0,4.8,Stormy,Jam,1.0,Meal,motorcycle,0.0,No,Metropolitian,28.0,7.661331134220826
25.0,4.8,Windy,High,1.0,Snack,scooter,1.0,No,Urban,19.0,6.175516093405999
37.0,4.6,Fog,Low,0.0,Buffet,motorcycle,2.0,Yes,Urban,42.0,12.209856560906529
24.0,5.0,Fog,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,23.0,1.5526813140972442
25.0,4.2,Stormy,Jam,0.0,Meal,motorcycle,1.0,No,Metropolitian,39.0,16.902806732498032
32.0,4.6,Stormy,Low,2.0,Drinks,motorcycle,1.0,No,Metropolitian,25.0,1.5093577696337532
34.0,4.7,Sandstorms,Low,1.0,Drinks,scooter,0.0,No,Metropolitian,15.0,6048.631240095335
38.0,4.9,Cloudy,Low,2.0,Drinks,scooter,1.0,No,Urban,15.0,3.0251186390184004
36.0,4.8,Sunny,Medium,2.0,Buffet,electric_scooter,0.0,No,Metropolitian,15.0,13.407092693002484
25.0,5.0,Stormy,Jam,1.0,Meal,motorcycle,0.0,No,Metropolitian,15.0,16.721976048741215
29.0,5.0,Sunny,Low,0.0,Drinks,motorcycle,0.0,No,Metropolitian,18.0,7.772343594464243
36.0,4.7,Sandstorms,Low,2.0,Drinks,electric_scooter,0.0,No,Metropolitian,29.0,13.773737657079298
33.0,4.7,Fog,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,20.0,7.790158927084966
36.0,4.4,Cloudy,High,2.0,Meal,scooter,1.0,No,Metropolitian,39.0,6.217834398578936
21.0,4.8,Windy,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,19.0,16.852834881460105
25.0,4.8,Cloudy,Low,1.0,Snack,scooter,1.0,No,Urban,19.0,4.610035602260694
23.0,4.8,Windy,Low,0.0,Meal,motorcycle,0.0,No,Metropolitian,17.0,19.879870677373702
25.0,4.6,Stormy,Low,2.0,Snack,motorcycle,1.0,No,Urban,15.0,1.5580833985948437
24.0,4.3,Sandstorms,Low,0.0,Meal,motorcycle,0.0,No,Urban,19.0,3.025332706173566
27.0,4.6,Sandstorms,Jam,0.0,Buffet,motorcycle,1.0,No,Metropolitian,29.0,13.97194896017493
23.0,4.8,Cloudy,Low,2.0,Snack,scooter,1.0,No,Urban,22.0,16.83090555193196
21.0,4.3,Fog,Jam,1.0,Drinks,scooter,0.0,No,Metropolitian,42.0,20.20779793335816
27.0,4.7,Sandstorms,Low,2.0,Snack,scooter,0.0,No,Urban,12.0,3.040641621538495
32.0,4.2,Cloudy,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,38.0,20.253785359470783
25.0,4.6,Sunny,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,23.0,16.72129600980331
39.0,4.7,Cloudy,Low,1.0,Meal,scooter,0.0,No,Metropolitian,15.0,2.9845507897866907
27.0,4.6,Sunny,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,24.0,12.161450531436758
39.0,3.8,Windy,Jam,1.0,Drinks,motorcycle,0.0,No,Metropolitian,37.0,16.822155609317257
31.0,4.8,Sandstorms,Low,1.0,Snack,scooter,0.0,No,Metropolitian,24.0,7.762556904358442
31.0,4.8,Sunny,Low,2.0,Buffet,electric_scooter,0.0,No,Metropolitian,13.0,9.055855161965924
20.0,4.8,Cloudy,Low,0.0,Drinks,motorcycle,0.0,No,Metropolitian,16.0,1.5545816630911855
36.0,4.9,Cloudy,Medium,0.0,Drinks,motorcycle,1.0,No,Urban,42.0,12.074047498027577
20.0,4.9,Sandstorms,Low,0.0,Meal,motorcycle,1.0,No,Metropolitian,17.0,13.58037387628088
24.0,4.6,Cloudy,Jam,0.0,Drinks,motorcycle,0.0,No,Metropolitian,25.0,4.469620875558295
39.0,4.2,Fog,Medium,1.0,Snack,scooter,0.0,No,Metropolitian,39.0,16.63487011821184
37.0,4.8,Sunny,High,2.0,Meal,scooter,0.0,No,Metropolitian,18.0,6.232139486668102
32.0,4.9,Sandstorms,Medium,2.0,Drinks,motorcycle,1.0,No,Metropolitian,28.0,6.209021101535612
22.0,4.5,Sandstorms,Low,1.0,Drinks,scooter,1.0,No,Metropolitian,18.0,7.460830127736633
23.0,4.9,Windy,Low,1.0,Meal,scooter,0.0,No,Metropolitian,18.0,20.253785359470783
33.0,4.7,Fog,Jam,1.0,Snack,scooter,1.0,No,Metropolitian,49.0,16.600975700594585
23.0,4.2,Sunny,Low,0.0,Drinks,motorcycle,0.0,No,Metropolitian,15.0,4.540321372891478
27.0,4.6,Sunny,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,21.0,12.421212735966002
34.0,4.7,Sunny,High,2.0,Snack,scooter,0.0,No,Metropolitian,23.0,6.118711846689728
26.0,5.0,Fog,Low,2.0,Meal,scooter,1.0,No,Urban,11.0,1.520431947999248
31.0,4.6,Cloudy,Jam,0.0,Snack,motorcycle,0.0,No,Metropolitian,25.0,9.087972744661084
32.0,4.9,Fog,Low,2.0,Snack,motorcycle,0.0,No,Metropolitian,18.0,3.0644871057616703
27.0,4.7,Cloudy,Low,1.0,Buffet,motorcycle,0.0,No,Metropolitian,14.0,3.025144329113595
21.0,4.9,Windy,Medium,0.0,Drinks,motorcycle,2.0,No,Metropolitian,36.0,13.973206773137711
28.0,4.8,Fog,Low,1.0,Drinks,motorcycle,0.0,No,Metropolitian,18.0,7.763102784727143
24.0,4.9,Fog,Medium,1.0,Meal,scooter,1.0,No,Urban,17.0,6.290134677634678
33.0,4.4,Sandstorms,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,28.0,1.5368503798521729
20.0,4.6,Fog,Jam,0.0,Buffet,motorcycle,0.0,Yes,Metropolitian,44.0,13.97317756157655
31.0,4.3,Windy,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,20.0,9.348403522662323
30.0,4.1,Stormy,Low,2.0,Snack,scooter,0.0,No,Metropolitian,19.0,4.596576884051942
36.0,5.0,Fog,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,35.0,10.602467987619509
31.0,4.2,Sandstorms,Jam,0.0,Meal,motorcycle,1.0,No,Metropolitian,50.0,17.076258901183188
39.0,4.1,Stormy,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,34.0,9.22083460710881
29.0,4.6,Sunny,Jam,2.0,Meal,electric_scooter,0.0,No,Metropolitian,17.0,12.161605446010208
29.0,4.6,Sandstorms,High,1.0,Snack,scooter,0.0,No,Urban,23.0,6.080882967594327
37.0,4.9,Fog,Medium,0.0,Buffet,motorcycle,1.0,No,Metropolitian,27.0,4.674143698976439
33.0,4.7,Cloudy,High,0.0,Snack,motorcycle,0.0,No,Urban,26.0,6.290134677634678
31.0,3.9,Cloudy,Low,1.0,Buffet,scooter,1.0,No,Metropolitian,35.0,10.709003371535417
37.0,4.6,Windy,High,0.0,Drinks,motorcycle,1.0,No,Urban,41.0,6.290134677634678
26.0,4.4,Sandstorms,Low,0.0,Buffet,motorcycle,0.0,No,Metropolitian,23.0,9.31488473286169
24.0,4.6,Stormy,Medium,0.0,Snack,motorcycle,0.0,No,Metropolitian,30.0,17.137482577838597
23.0,4.8,Windy,Low,1.0,Buffet,scooter,1.0,No,Metropolitian,19.0,3.145067434621583
36.0,4.9,Windy,Low,1.0,Buffet,scooter,1.0,No,Metropolitian,27.0,1.5725337292863206
39.0,4.8,Cloudy,High,0.0,Snack,motorcycle,1.0,No,Metropolitian,28.0,6.21800234869445
20.0,4.7,Sandstorms,Medium,0.0,Drinks,motorcycle,1.0,No,Metropolitian,24.0,12.463883024166655
20.0,5.0,Cloudy,Jam,0.0,Meal,motorcycle,1.0,No,Urban,36.0,20.206581510507974
29.0,4.3,Sandstorms,Low,0.0,Buffet,motorcycle,0.0,No,Metropolitian,28.0,9.081116432461174
36.0,4.8,Fog,Medium,2.0,Drinks,motorcycle,1.0,No,Urban,31.0,17.138077427627863
36.0,4.0,Sunny,Jam,0.0,Meal,motorcycle,3.0,No,Metropolitian,44.0,13.631343698142908
22.0,4.8,Windy,Low,1.0,Drinks,scooter,1.0,No,Metropolitian,15.0,12.074063090452915
38.0,4.4,Windy,Medium,0.0,Buffet,motorcycle,1.0,No,Metropolitian,33.0,10.723264172167632
39.0,4.9,Fog,Jam,0.0,Buffet,motorcycle,0.0,No,Metropolitian,30.0,7.600994631258686
