Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance_in_KM
26.0,4.9,Sunny,Low,2.0,Buffet,motorcycle,1.0,No,Metropolitian,26.0,10.444757509939643
39.0,4.6,Sandstorms,Medium,2.0,Snack,motorcycle,1.0,No,Metropolitian,30.0,13.82913165629175
34.0,4.7,Fog,Low,0.0,Drinks,motorcycle,0.0,No,Metropolitian,22.0,1.5148048951935007
37.0,4.5,Fog,Medium,0.0,Drinks,motorcycle,2.0,No,Metropolitian,38.0,13.894520851005634
28.0,4.4,Sunny,Jam,0.0,Meal,motorcycle,1.0,No,Metropolitian,46.0,7.562272055565832
33.0,4.1,Windy,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,24.0,3.104785917529512
30.0,4.2,Windy,Low,2.0,Drinks,scooter,1.0,No,Urban,15.0,20.182068898087746
29.0,4.6,Sandstorms,Low,0.0,Snack,motorcycle,0.0,No,Metropolitian,24.0,12.080081518351331
20.0,4.8,Sandstorms,Low,1.0,Drinks,motorcycle,0.0,No,Urban,11.0,16.902901527491974
38.0,4.7,Cloudy,Jam,0.0,Snack,motorcycle,1.0,No,Metropolitian,45.0,10.868263117988388
27.0,4.2,Windy,High,0.0,Snack,motorcycle,1.0,No,Urban,35.0,3.109059104393369
29.0,4.9,Stormy,Jam,0.0,Buffet,motorcycle,0.0,No,Metropolitian,16.0,4.537922749289298
34.0,4.6,Cloudy,Medium,2.0,Meal,scooter,0.0,No,Urban,17.0,7.57343592001983
36.0,4.5,Cloudy,High,1.0,Drinks,motorcycle,1.0,No,Metropolitian,25.0,3.0189114817580243
38.0,4.2,Windy,Jam,2.0,Snack,electric_scooter,1.0,No,Urban,34.0,10.60216485230212
39.0,4.6,Windy,Low,2.0,Snack,scooter,0.0,No,Metropolitian,20.0,7.7191763867423395
29.0,4.9,Stormy,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,16.0,20.17903332454877
23.0,4.7,Sunny,Low,2.0,Buffet,scooter,1.0,No,Urban,22.0,9.056024276265347
30.0,4.7,Sunny,Low,1.0,Meal,motorcycle,1.0,No,Urban,26.0,16.849939918016496
39.0,4.9,Cloudy,Medium,1.0,Snack,motorcycle,0.0,No,Metropolitian,19.0,6.290134677634678
24.0,4.6,Windy,Low,2.0,Snack,motorcycle,1.0,No,Urban,19.0,4.65818248829983
29.0,2.5,Sunny,Low,2.0,Drinks,scooter,1.0,Yes,Metropolitian,41.0,14.15280068944862
23.0,5.0,Cloudy,Medium,2.0,Drinks,scooter,1.0,No,Metropolitian,30.0,16.384900933459228
